councillor_a,councillor_b,shared_votes,agreement_rate
Ariel Troster,Glen Gower,260,0.619
Jessica Bradley,Stéphanie Plante,203,0.621
Catherine Kitts,Riley Brockington,241,0.622
Isabelle Skalski,Marty Carr,69,0.623
Glen Gower,Rawlson King,231,0.623
Riley Brockington,Wilson Lo,236,0.623
Shawn Menard,Stéphanie Plante,201,0.627
Marty Carr,Wilson Lo,215,0.628
Rawlson King,Stéphanie Plante,215,0.628
Glen Gower,Laine Johnson,236,0.631
Mark Sutcliffe,Stéphanie Plante,203,0.631
Stéphanie Plante,Theresa Kavanagh,206,0.631
Mark Sutcliffe,Riley Brockington,217,0.636
Glen Gower,Jeff Leiper,279,0.638
Jessica Bradley,Marty Carr,202,0.639
Cathy Curry,Stéphanie Plante,194,0.639
Clarke Kelly,Riley Brockington,211,0.64
Glen Gower,Riley Brockington,262,0.641
Riley Brockington,Tim Tierney,249,0.643
Allan Hubley,Marty Carr,192,0.646
Stéphanie Plante,Tim Tierney,189,0.646
Riley Brockington,Stéphanie Plante,192,0.646
Marty Carr,Sean Devine,210,0.648
Marty Carr,Shawn Menard,218,0.651
Jeff Leiper,Stéphanie Plante,210,0.652
Jeff Leiper,Riley Brockington,262,0.656
Isabelle Skalski,Stéphanie Plante,68,0.662
Riley Brockington,Sean Devine,202,0.663
Clarke Kelly,Marty Carr,187,0.663
Jessica Bradley,Riley Brockington,191,0.665
Marty Carr,Steve Desroches,194,0.665
George Darouze,Glen Gower,134,0.672
Laine Johnson,Marty Carr,189,0.677
Glen Gower,Stéphanie Plante,203,0.68
Marty Carr,Riley Brockington,207,0.681
Glen Gower,Matthew Luloff,245,0.686
Riley Brockington,Theresa Kavanagh,241,0.689
Rawlson King,Riley Brockington,227,0.692
Marty Carr,Tim Tierney,205,0.693
Catherine Kitts,Marty Carr,193,0.694
Laura Dudas,Marty Carr,196,0.699
Marty Carr,Stéphanie Plante,203,0.7
Glen Gower,Wilson Lo,267,0.7
Ariel Troster,Riley Brockington,230,0.7
Ariel Troster,Marty Carr,204,0.701
Laine Johnson,Riley Brockington,212,0.703
Isabelle Skalski,Riley Brockington,66,0.712
Marty Carr,Theresa Kavanagh,215,0.712
Cathy Curry,Marty Carr,205,0.717
George Darouze,Mark Sutcliffe,122,0.721
Marty Carr,Rawlson King,214,0.729
Jeff Leiper,Marty Carr,211,0.73
David Brown,Glen Gower,222,0.73
Glen Gower,Isabelle Skalski,84,0.738
Mark Sutcliffe,Marty Carr,204,0.74
Glen Gower,Steve Desroches,211,0.744
Laine Johnson,Shawn Menard,192,0.745
Clarke Kelly,Glen Gower,224,0.746
Mark Sutcliffe,Matthew Luloff,222,0.752
George Darouze,Wilson Lo,117,0.752
Clarke Kelly,Wilson Lo,222,0.752
Catherine Kitts,Wilson Lo,244,0.754
Tim Tierney,Wilson Lo,251,0.757
Rawlson King,Sean Devine,214,0.757
Clarke Kelly,George Darouze,109,0.761
Jeff Leiper,Sean Devine,204,0.765
David Hill,Glen Gower,206,0.767
Mark Sutcliffe,Wilson Lo,206,0.767
Laine Johnson,Theresa Kavanagh,226,0.77
Jessica Bradley,Laine Johnson,201,0.771
Allan Hubley,Glen Gower,197,0.772
Cathy Curry,Clarke Kelly,213,0.779
Clarke Kelly,Tim Tierney,214,0.78
David Hill,Mark Sutcliffe,200,0.78
Cathy Curry,George Darouze,123,0.78
Clarke Kelly,David Hill,183,0.781
Cathy Curry,Wilson Lo,238,0.782
Glen Gower,Tim Tierney,273,0.788
Ariel Troster,Laine Johnson,237,0.789
Laine Johnson,Sean Devine,205,0.79
Sean Devine,Theresa Kavanagh,214,0.79
David Hill,Wilson Lo,209,0.794
Jessica Bradley,Rawlson King,205,0.795
Clarke Kelly,Laura Dudas,210,0.795
Jeff Leiper,Jessica Bradley,201,0.796
George Darouze,Laura Dudas,128,0.797
David Hill,Isabelle Skalski,64,0.797
Shawn Menard,Theresa Kavanagh,217,0.797
Catherine Kitts,Glen Gower,266,0.797
Matthew Luloff,Wilson Lo,223,0.798
Rawlson King,Theresa Kavanagh,222,0.802
Clarke Kelly,Matthew Luloff,198,0.803
Isabelle Skalski,Steve Desroches,67,0.806
Sean Devine,Shawn Menard,212,0.807
Jeff Leiper,Rawlson King,238,0.807
Jessica Bradley,Sean Devine,219,0.808
Laura Dudas,Wilson Lo,245,0.808
Catherine Kitts,Clarke Kelly,225,0.809
Catherine Kitts,George Darouze,131,0.809
Isabelle Skalski,Wilson Lo,84,0.81
Clarke Kelly,Steve Desroches,179,0.81
Glen Gower,Laura Dudas,264,0.811
Rawlson King,Shawn Menard,238,0.811
David Hill,Tim Tierney,201,0.811
Matthew Luloff,Steve Desroches,207,0.812
Catherine Kitts,David Brown,223,0.812
Catherine Kitts,Isabelle Skalski,80,0.812
Jeff Leiper,Laine Johnson,225,0.813
David Brown,Laura Dudas,215,0.814
Laine Johnson,Rawlson King,194,0.814
Jeff Leiper,Shawn Menard,237,0.814
Jeff Leiper,Theresa Kavanagh,249,0.815
Catherine Kitts,Tim Tierney,245,0.816
Cathy Curry,Matthew Luloff,223,0.816
George Darouze,Steve Desroches,115,0.817
David Brown,Mark Sutcliffe,215,0.819
Cathy Curry,David Brown,217,0.82
Catherine Kitts,David Hill,189,0.82
Jessica Bradley,Theresa Kavanagh,205,0.82
