ctid,tract_name,requests,median_days_to_close,equity_score,stratum,nei_name
5050011.03,0011.03,141,194.0,70.9,Urban,Rideau River Park-Riviera
5050160.11,0160.11,357,237.0,71.0,Suburban,South March-Brookside-Briarbrook
5050170.01,0170.01,224,144.0,71.2,Suburban,Chatelaine Village
5050134.00,0134.00,329,237.0,71.3,Urban,Meadowlands
5050124.01,0124.01,422,156.5,71.6,Suburban,Convent Glen-Place d'Orleans
5050141.11,0141.11,213,214.0,71.7,Suburban,Old Barrhaven East-Rodeo Dr
5050151.08,0151.08,952,158.5,71.8,Suburban,Stittsville-Iber Rd-Stanley Corners
5050121.01,0121.01,342,206.0,71.8,Urban,Cardinal Heights
5050170.10,0170.10,264,154.0,71.8,Suburban,Fallingbrook-Princess Louise Dr
5050104.00,0104.00,263,157.0,71.9,Urban,Vanier-Landry St
5050020.02,0020.02,314,191.0,71.9,Urban,Carleton Heights
5050005.00,0005.00,799,132.0,72.0,Urban,Billings Bridge
5050125.07,0125.07,329,237.0,72.0,Suburban,Chapel Hill North-Beausejour
5050120.02,0120.02,164,263.5,72.2,Suburban,Beacon Hill North
5050041.00,0041.00,374,189.5,72.2,Urban,Somerset-Chinatown
5050162.02,0162.02,390,191.0,72.4,Suburban,Glen Cairn-Abbottsville Crossing
5050124.02,0124.02,212,187.0,72.5,Suburban,Queenswood Village
5050141.09,0141.09,291,216.0,72.6,Suburban,Barrhaven-Rideaucrest South
5050141.13,0141.13,242,188.0,72.6,Suburban,Barrhaven-Heart's Desire
5050048.00,0048.00,4277,324.0,72.9,Urban,Centretown-Downtown
5050161.03,0161.03,196,169.0,72.9,Suburban,Bridlewood
5050135.02,0135.02,295,212.0,73.1,Urban,Arlington Woods-Sheahan Estates
5050161.06,0161.06,360,204.0,73.1,Suburban,Emerald Meadows-Hope Side Rd
5050035.00,0035.00,426,187.0,73.1,Urban,The Glebe Annex-Little Italy
5050120.01,0120.01,117,225.0,73.2,Urban,Rothwell Heights
5050025.00,0025.00,666,170.5,73.3,Urban,Whitehaven-Glabar Park
5050039.00,0039.00,245,187.0,73.5,Urban,Centretown-Lyon St-McLeod St
5050151.05,0151.05,162,173.0,73.6,Suburban,Stittsville-Amberwood Village
5050160.04,0160.04,474,188.0,73.6,Suburban,Katimavik-Hazeldean-Kakulu
5050122.03,0122.03,539,211.0,73.7,Urban,Carson Grove
5050007.01,0007.01,110,172.5,73.7,Urban,Playfair Park
5050160.02,0160.02,469,225.0,73.9,Suburban,Beaverbrook
5050015.00,0015.00,466,200.0,74.0,Urban,Old Ottawa East-St Paul University
5050125.01,0125.01,241,225.0,74.1,Suburban,Blackburn Hamlet
5050141.10,0141.10,231,147.0,74.2,Suburban,Old Barrhaven East-Stinson Park
5050002.02,0002.02,284,198.0,74.3,Urban,Hunt Club West-Owl Park
