vendor,contracts,actions,total_amount,noncompetitive_amount,share_of_total,cumulative_share,noncompetitive_share
CLEARWATER STRUCTURES INC,5,6,6724889.32,507224.0,0.00113,0.80622,0.0754
"RON'S CARTAGE,TREE COMPASS INC",2,2,6719747.0,0.0,0.00113,0.80735,0.0
"CORE CIVIL CONSTRUCTION INC,DOULOS CONSTRUCTION LTD,E. GEO. BROWN EXCAVATING(1992)LTD.,KCE CONSTRUCTION LTD,LAURENT LEBLANC LIMITED,MAURICE YELLE EXCAVATION LTD,MOLLOY CONTRACTING,RW TOMLINSON LTD,S W FARRELL AND SONS 1979 LTD",1,1,6600000.0,0.0,0.00111,0.80846,0.0
FORTRAN TRAFFIC SYSTEMS LTD,7,9,6579889.59,2660158.42,0.0011,0.80956,0.4043
TJL CONSTRUCTION LTD,12,13,6547368.02,0.0,0.0011,0.81066,0.0
PLAZA ALLIANCE GLOBALE (PAG) INC,1,1,6273016.91,0.0,0.00105,0.81171,0.0
"ASL AGRODRAIN LIMITED,KURTIS ARMSTRONG CONTRACTING INC,RW TOMLINSON LTD,REMI PERRON",1,2,6261061.51,0.0,0.00105,0.81276,0.0
PSL MECHANICAL HEATING,11,12,6247489.36,0.0,0.00105,0.81381,0.0
"LABOR TEK PERSONNEL,HANDYMAN PERSONNEL,THE LABOUR GROUP (1799795 ONTARIO LTD)",2,2,6205123.82,0.0,0.00104,0.81485,0.0
PRODIGY PROPERTY MAINTENANCE INC,4,7,6165080.59,0.0,0.00103,0.81588,0.0
NORRIS CONSTRUCTION MANAGEMENT INC,2,3,6071752.34,0.0,0.00102,0.8169,0.0
IPL NORTH AMERICA INC,2,2,6071486.3,0.0,0.00102,0.81792,0.0
LIEBHERR CANADA LTD,4,4,6042121.8,0.0,0.00101,0.81893,0.0
GEMMA PROPERTY SERVICES INC,2,3,6034023.53,6034023.53,0.00101,0.81994,1.0
"CAPITAL TRANSIT PHASE 2, A JOINT",1,1,6000000.0,6000000.0,0.00101,0.82095,1.0
BLAIR ASPHALT PRODUCTS LIMITED,1,1,5984827.01,0.0,0.001,0.82195,0.0
CIMA CANADA INC,45,53,5933709.53,0.0,0.00099,0.82294,0.0
"GREEN INFRASTRUCTURE PARTNERS INC,RW TOMLINSON LTD",1,1,5854246.0,0.0,0.00098,0.82392,0.0
MORRISON HERSHFIELD,43,44,5850079.81,0.0,0.00098,0.8249,0.0
POWERLAND COMPUTERS LTD.,3,3,5772294.79,5087652.8,0.00097,0.82587,0.8814
HOSIE AND BROWN AUTO ELECTRIC LTD,4,4,5726957.8,0.0,0.00096,0.82683,0.0
BRAWN CONSTRUCTION LTD,6,6,5726410.78,0.0,0.00096,0.82779,0.0
CH2M HILL CANADA LIMITED,20,24,5674696.01,733177.5,0.00095,0.82874,0.1292
JWK UTILITIES AND SITE SERVICES LTD,11,15,5649733.77,0.0,0.00095,0.82969,0.0
